id_batiment,is_hospital,infra_id,type_infra,longueur,man_hours,time_total_h,material_cost,labor_cost,cost_total,plan_order,phase,cost_cum,time_cum_h,pct_cum_all
E000369,0,P004269,a_remplacer,8.03245737103393,16.06491474206786,4.016228685516965,4016.228685516965,602.4343028275447,4618.662988344509,321,1.0,1261983.1206550305,1231.9264543049396,0.3174559511311493
E000372,0,P008033,a_remplacer,30.5368269197176,152.684134598588,38.171033649647,27483.14422774584,5725.6550474470505,33208.79927519289,322,1.0,1295191.9199302234,1270.0974879545865,0.32580973240387967
E000372,0,P007610,a_remplacer,8.8689078508038,44.344539254019004,11.086134813504751,7982.017065723421,1662.9202220257127,9644.937287749133,322,1.0,1304836.8572179724,1281.1836227680913,0.32823594769168274
E000372,0,P004261,a_remplacer,8.0897383575819,32.3589534303276,8.0897383575819,6067.303768186425,1213.460753637285,7280.76452182371,322,1.0,1312117.6217397961,1289.273361125673,0.330067447644739
E000372,0,P004271,a_remplacer,6.61138266761108,33.0569133380554,8.26422833451385,5950.244400849972,1239.6342501770775,7189.87865102705,322,1.0,1319307.5003908232,1297.5375894601868,0.33187608496192805
E000372,0,P006950,a_remplacer,4.98657320364,24.9328660182,6.23321650455,4487.9158832759995,934.9824756825,5422.8983589585,322,1.0,1324730.3987497818,1303.7708059647368,0.33324023265000263
E000372,0,P004269,a_remplacer,8.03245737103393,16.06491474206786,4.016228685516965,4016.228685516965,602.4343028275447,4618.662988344509,322,1.0,1329349.0617381262,1307.7870346502539,0.334402072319584
E000367,0,P008033,a_remplacer,30.5368269197176,152.684134598588,38.171033649647,27483.14422774584,5725.6550474470505,33208.79927519289,323,1.0,1362557.861013319,1345.9580682999008,0.34275585359231436
E000367,0,P006950,a_remplacer,4.98657320364,24.9328660182,6.23321650455,4487.9158832759995,934.9824756825,5422.8983589585,323,1.0,1367980.7593722777,1352.1912848044508,0.34412000128038894
E000367,0,P007564,a_remplacer,7.13168893719009,14.26337787438018,3.565844468595045,3565.844468595045,534.8766702892567,4100.721138884302,323,1.0,1372081.480511162,1355.7571292730458,0.3451515509961985
E000367,0,P004282,a_remplacer,6.15148232447661,12.30296464895322,3.075741162238305,3075.7411622383047,461.3611743357457,3537.1023365740502,323,1.0,1375618.582847736,1358.8328704352841,0.34604132057245285
E000367,0,P004284,a_remplacer,5.44625644673519,10.89251289347038,2.723128223367595,2723.128223367595,408.46923350513924,3131.5974568727343,323,1.0,1378750.1803046088,1361.5559986586518,0.34682908407971386
E000368,0,P008033,a_remplacer,30.5368269197176,152.684134598588,38.171033649647,27483.14422774584,5725.6550474470505,33208.79927519289,324,1.0,1411958.9795798017,1399.7270323082987,0.3551828653524442
E000368,0,P006950,a_remplacer,4.98657320364,24.9328660182,6.23321650455,4487.9158832759995,934.9824756825,5422.8983589585,324,1.0,1417381.8779387602,1405.9602488128487,0.3565470130405188
E000368,0,P007609,a_remplacer,7.79612855602243,15.59225711204486,3.898064278011215,3898.0642780112153,584.7096417016822,4482.773919712898,324,1.0,1421864.6518584732,1409.8583130908598,0.35767466937371106
E000368,0,P004282,a_remplacer,6.15148232447661,12.30296464895322,3.075741162238305,3075.7411622383047,461.3611743357457,3537.1023365740502,324,1.0,1425401.7541950473,1412.934054253098,0.35856443894996537
E000368,0,P004284,a_remplacer,5.44625644673519,10.89251289347038,2.723128223367595,2723.128223367595,408.46923350513924,3131.5974568727343,324,1.0,1428533.35165192,1415.6571824764658,0.35935220245722643
E000360,0,P008033,a_remplacer,30.5368269197176,152.684134598588,38.171033649647,27483.14422774584,5725.6550474470505,33208.79927519289,325,1.0,1461742.150927113,1453.8282161261127,0.3677059837299568
